Reading,Currency,Max,Min,Mean,Vol,FD
1,AUD_USD,1.50382,0.6648,0.7629752,0.83902,0
2,AUD_USD,1.5038837,0.664895,0.7885847,0.8389887,4555.484478
3,AUD_USD,1.5043136,0.664735,0.7653248,0.8395786,3623.246233
4,AUD_USD,1.50357,0.665,0.7729236,0.83857,3566.786315
5,AUD_USD,1.49983,0.6667,0.782608,0.83313,4213.027979
6,AUD_USD,1.50019,0.666545,0.7709444,0.833645,3929.730281
7,AUD_USD,1.5004764,0.666445,0.7500321,0.8340314,3080.219762
8,AUD_USD,1.49998,0.666695,0.7780134,0.833285,3465.801016
9,AUD_USD,1.4989,0.6671,0.7736601,0.8318,3563.356576
10,AUD_USD,1.49762,0.6676,0.7647438,0.83002,3711.958748
11,AUD_USD,1.4972302,0.668,0.794762,0.8292302,4232.841496
12,AUD_USD,1.49653,0.668195,0.785685,0.828335,4143.251221
13,AUD_USD,1.4959646,0.668395,0.7536504,0.8275696,2827.55674
14,AUD_USD,1.4958864,0.6685,0.75146,0.8273864,3016.728339
15,AUD_USD,1.4948912,0.6689,0.7655295,0.8259912,3496.405289
16,AUD_USD,1.49559,0.668535,0.7537715,0.827055,3206.55821
17,AUD_USD,1.49581,0.6685,0.7652801,0.82731,3394.132792
18,AUD_USD,1.4960317,0.6684,0.769778,0.8276317,3675.547952
19,AUD_USD,1.4967259,0.6681,0.7925266,0.8286259,4565.38952
20,AUD_USD,1.4961213,0.6683,0.7535781,0.8278213,2937.832114
21,AUD_USD,1.4965019,0.6681,0.7649975,0.8284019,3295.501857
22,AUD_USD,1.49704,0.667975,0.785669,0.829065,3810.316441
23,AUD_USD,1.49626,0.668325,0.7880422,0.827935,4098.147801
24,AUD_USD,1.4969276,0.667975,0.7879709,0.8289526,4140.164347
25,AUD_USD,1.4973311,0.667855,0.7717373,0.8294761,3573.339847
26,AUD_USD,1.497488,0.667785,0.7785208,0.829703,3478.353097
27,AUD_USD,1.4972302,0.6679,0.762467,0.8293302,3244.787179
28,AUD_USD,1.49675,0.668095,0.7833279,0.828655,3953.394356
29,AUD_USD,1.49599,0.6683,0.7904753,0.82769,3958.0036
30,AUD_USD,1.4954724,0.6686,0.7446344,0.8268724,2924.272234
31,AUD_USD,1.49495,0.6689,0.7333448,0.82605,2643.907754
32,AUD_USD,1.49455,0.6691,0.7357324,0.82545,2456.841723
33,AUD_USD,1.4943217,0.6691,0.7494818,0.8252217,3024.641742
34,AUD_USD,1.49455,0.6691,0.7540277,0.82545,3401.780847
35,AUD_USD,1.49475,0.669,0.735645,0.82575,2550.408719
36,AUD_USD,1.4947685,0.669,0.7356229,0.8257685,2644.809048
37,AUD_USD,1.498124,0.6665,0.7378534,0.831624,2719.979221
38,AUD_USD,1.496782,0.667185,0.730587,0.829597,2444.560431
39,AUD_USD,1.49585,0.6684,0.7398637,0.82745,2755.453502
40,AUD_USD,1.49615,0.6684,0.7466832,0.82775,3015.403201
41,AUD_USD,1.49589,0.6684,0.7375587,0.82749,2545.045862
42,AUD_USD,1.495439,0.6686,0.7675737,0.826839,3018.725532
43,AUD_USD,1.495225,0.6687,0.7377449,0.826525,2642.388313
44,AUD_USD,1.4955,0.66733,0.7353377,0.82817,2542.956156
45,AUD_USD,1.4961103,0.6684,0.7422413,0.8277103,2827.076092
46,AUD_USD,1.49525,0.668835,0.7218069,0.826415,2123.630379
47,AUD_USD,1.49545,0.6687,0.7446337,0.82675,2830.359843
48,AUD_USD,1.4947685,0.669,0.7493645,0.8257685,3117.096377
49,AUD_USD,1.494947,0.6689,0.7286891,0.826047,2455.066116
50,AUD_USD,1.495439,0.6687,0.7354359,0.826739,2358.664585
51,AUD_USD,1.49496,0.6688,0.7378315,0.82616,2643.555728
52,AUD_USD,1.49545,0.6687,0.7469437,0.82675,2971.877835
53,AUD_USD,1.4958975,0.6684,0.7422396,0.8274975,2874.933157
