Reading,Currency,Max,Min,Mean,Vol,FD,R
1,AUD_USD,0.6671,0.666885,0.6669849,0.000215,0,0
2,AUD_USD,0.667,0.6667,0.6668044,0.0003,35966.66667,-0.0002706
3,AUD_USD,0.66726,0.6666,0.6668993,0.00066,14454.54545,0.0001423
4,AUD_USD,0.6673,0.667,0.667118,0.0003,11600,0.0003279
5,AUD_USD,0.6671,0.6664,0.6667879,0.0007,13200,-0.0004948
6,AUD_USD,0.6665,0.666295,0.6663834,0.000205,15317.07317,-0.0006066
7,AUD_USD,0.6665,0.666175,0.6663356,0.000325,36030.76923,-7.17E-05
8,AUD_USD,0.6665,0.666215,0.666364,0.000285,21052.63158,4.26E-05
9,AUD_USD,0.666565,0.666195,0.6663898,0.00037,19081.08108,3.87E-05
10,AUD_USD,0.666525,0.6661,0.6663539,0.000425,15811.76471,-5.39E-05
11,AUD_USD,0.6663,0.665955,0.6661216,0.000345,18347.82609,-0.0003486
12,AUD_USD,0.6663,0.6657,0.6660196,0.0006,11050,-0.0001531
13,AUD_USD,0.6659,0.66544,0.6656899,0.00046,7956.521739,-0.000495
14,AUD_USD,0.6657,0.6653,0.665511,0.0004,12275,-0.0002687
15,AUD_USD,0.6657,0.6653,0.6654327,0.0004,12825,-0.0001177
16,AUD_USD,0.6657,0.6653,0.6655204,0.0004,14900,0.0001318
17,AUD_USD,0.6657,0.6653,0.6654711,0.0004,11425,-7.41E-05
18,AUD_USD,0.6655,0.6651,0.6652621,0.0004,15600,-0.0003141
19,AUD_USD,0.6655,0.6651,0.6653079,0.0004,13725,6.88E-05
20,AUD_USD,0.6654,0.665,0.6651789,0.0004,15000,-0.0001939
21,AUD_USD,0.6653,0.665,0.6651921,0.0003,19300,1.98E-05
22,AUD_USD,0.665195,0.6645,0.6647698,0.000695,10215.82734,-0.0006349
23,AUD_USD,0.665,0.66458,0.6647842,0.00042,7619.047619,2.17E-05
24,AUD_USD,0.6649,0.6646,0.6647242,0.0003,15200,-9.03E-05
25,AUD_USD,0.6648,0.6643,0.6645596,0.0005,11520,-0.0002476
26,AUD_USD,0.6646,0.6642,0.6643752,0.0004,9000,-0.0002775
27,AUD_USD,0.6645,0.6642,0.664323,0.0003,18900,-7.86E-05
28,AUD_USD,0.6645,0.6642,0.6643389,0.0003,19700,2.39E-05
29,AUD_USD,0.6645,0.6642,0.6643668,0.0003,17666.66667,4.20E-05
30,AUD_USD,0.6647,0.6643,0.6644897,0.0004,18750,0.000185
31,AUD_USD,0.6649,0.6644,0.6646349,0.0005,9620,0.0002185
32,AUD_USD,0.665,0.6646,0.6648047,0.0004,9875,0.0002555
33,AUD_USD,0.665,0.6647,0.664834,0.0003,18300,4.41E-05
34,AUD_USD,0.665,0.66436,0.6646148,0.00064,10796.875,-0.0003297
35,AUD_USD,0.6646,0.6643,0.6644681,0.0003,10033.33333,-0.0002207
36,AUD_USD,0.6647,0.6643,0.6644965,0.0004,17250,4.27E-05
37,AUD_USD,0.6648,0.6644,0.6645969,0.0004,13700,0.0001511
38,AUD_USD,0.66482,0.6644,0.6646171,0.00042,13452.38095,3.04E-05
39,AUD_USD,0.6651,0.6647,0.664895,0.0004,12350,0.0004181
40,AUD_USD,0.66522,0.6649,0.6651298,0.00032,10875,0.0003531
41,AUD_USD,0.6653,0.6651,0.6652296,0.0002,14650,0.00015
42,AUD_USD,0.6654,0.6651,0.6652315,0.0003,28566.66667,2.90E-06
43,AUD_USD,0.6653,0.665,0.6651319,0.0003,15900,-0.0001497
44,AUD_USD,0.6652,0.6649,0.6650338,0.0003,14066.66667,-0.0001475
45,AUD_USD,0.6653,0.665,0.6651657,0.0003,15033.33333,0.0001983
46,AUD_USD,0.6654,0.6651,0.6652199,0.0003,19166.66667,8.15E-05
47,AUD_USD,0.6654,0.6651,0.6652191,0.0003,14933.33333,-1.20E-06
48,AUD_USD,0.6654,0.6651,0.6652245,0.0003,16800,8.10E-06
49,AUD_USD,0.6654,0.6652,0.6652681,0.0002,13250,6.55E-05
50,AUD_USD,0.6654,0.6651,0.6652551,0.0003,28800,-1.95E-05
51,AUD_USD,0.6653,0.6651,0.6652122,0.0002,22100,-6.45E-05
52,AUD_USD,0.6654,0.665,0.6651912,0.0004,25550,-3.16E-05
