Reading,Currency,Max,Min,Mean,Vol,FD,R
1,AUD_USD,0.6671,0.666885,0.6669849,0.000215,0.0,0
1,GBP_EUR,1.157245,1.156855,1.1570891,0.00039,0.0,0
1,USD_CAD,1.3461,1.345615,1.3457787,0.000485,0.0,0
1,USD_JPY,138.9905,138.951,138.9718306,0.0395,0.0,0
1,USD_MXN,19.30954,19.3026,19.306352,0.00694,0.0,0
1,EUR_USD,1.03625,1.03595,1.0360846,0.0003,0.0,0
1,EUR_JPY,144.0065,143.965,143.9856472,0.0415,0.0,0
1,USD_CZK,23.4846,23.4765,23.4789399,0.0081,0.0,0
1,USD_PLN,4.5155685,4.513732,4.5146713,0.0018365,0.0,0
1,USD_INR,81.65515,81.6305,81.6472653,0.02465,0.0,0
2,AUD_USD,0.667,0.6667,0.6668044,0.0003,35966.66666666667,-0.0002706
2,GBP_EUR,1.157035,1.1566,1.1568855,0.000435,18919.54022988506,-0.000176
2,USD_CAD,1.346465,1.345915,1.3461966,0.00055,8636.363636363636,0.0003105
2,USD_JPY,139.005,138.936,138.9765264,0.069,64.78260869565217,3.38e-05
2,USD_MXN,19.3089,19.30402,19.3072884,0.00488,461.0655737704918,4.85e-05
2,EUR_USD,1.03625,1.035595,1.0358903,0.000655,15938.931297709923,-0.0001875
2,EUR_JPY,143.9945,143.94,143.9637278,0.0545,257.2477064220183,-0.0001522
2,USD_CZK,23.50755,23.4579,23.4831819,0.04965,292.0443101711984,0.0001807
2,USD_PLN,4.51703,4.51404,4.5153536,0.00299,5555.183946488294,0.0001511
2,USD_INR,81.68765,81.63025,81.6629069,0.0574,304.7038327526132,0.0001916
3,AUD_USD,0.66726,0.6666,0.6668993,0.00066,14454.545454545454,0.0001423
3,GBP_EUR,1.1569,1.1564,1.1566655,0.0005,10120.0,-0.0001902
3,USD_CAD,1.346465,1.34572,1.3461212,0.000745,6738.255033557048,-5.6e-05
3,USD_JPY,138.9445,138.861,138.9092847,0.0835,30.179640718562876,-0.0004838
