Reading,Currency,Max,Min,Mean,Vol,FD,R
1,AUD_USD,0.664525,0.6642,0.6643734,0.000325,0.0,0
1,GBP_EUR,1.1569,1.1565,1.1567206,0.0004,0.0,0
1,USD_CAD,1.34909,1.34879,1.348975,0.0003,0.0,0
1,USD_JPY,139.256,139.156,139.2042889,0.1,0.0,0
1,USD_MXN,19.3152,19.31405,19.3148033,0.00115,0.0,0
1,EUR_USD,1.03425,1.03385,1.0339583,0.0004,0.0,0
1,EUR_JPY,143.975,143.8855,143.9309444,0.0895,0.0,0
1,USD_CZK,23.5347,23.526,23.5306169,0.0087,0.0,0
1,USD_PLN,4.529874,4.5271865,4.5283793,0.0026875,0.0,0
1,USD_INR,81.80405,81.65125,81.7904225,0.1528,0.0,0
2,AUD_USD,0.6646,0.6643,0.6644806,0.0003,13733.333333333334,0.0001614
2,GBP_EUR,1.1569,1.1566,1.1567801,0.0003,5966.666666666667,5.14e-05
2,USD_CAD,1.3489,1.3486,1.3487473,0.0003,7800.0,-0.0001688
2,USD_JPY,139.225,139.176,139.2003028,0.049,31.632653061224488,-2.86e-05
2,USD_MXN,19.315,19.31344,19.3143057,0.00156,3211.5384615384614,-2.58e-05
2,EUR_USD,1.03445,1.03405,1.0342023,0.0004,7075.0,0.000236
2,EUR_JPY,143.98,143.937,143.9611983,0.043,46.97674418604652,0.0002102
2,USD_CZK,23.52785,23.522,23.5256136,0.00585,338.4615384615385,-0.0002126
2,USD_PLN,4.527707,4.5260378,4.5271136,0.0016692,1431.8236280853102,-0.0002795
2,USD_INR,81.64405,81.644,81.6440008,5e-05,0.0,-0.0017902
3,AUD_USD,0.6646,0.664125,0.6643353,0.000475,8526.315789473683,-0.0002187
3,GBP_EUR,1.1569,1.1567,1.1567821,0.0002,12850.0,1.7e-06
3,USD_CAD,1.34915,1.34859,1.3488265,0.00056,7803.571428571429,5.87e-05
3,USD_JPY,139.275,139.1825,139.2155167,0.0925,29.08108108108108,0.0001093
3,USD_MXN,19.322515,19.30665,19.3153026,0.015865,601.3236684525685,5.16e-05
3,EUR_USD,1.034275,1.033655,1.0339688,0.00062,5790.322580645161,-0.0002258
3,EUR_JPY,143.971,143.918,143.9450367,0.053,74.90566037735849,-0.0001123
3,USD_CZK,23.5376,23.5239,23.5290761,0.0137,309.4890510948905,0.0001472
3,USD_PLN,4.5299975,4.5264595,4.5279444,0.003538,1676.0881854154889,0.0001835
3,USD_INR,81.644,81.6235,81.6334169,0.0205,48.78048780487804,-0.0001296
4,AUD_USD,0.664325,0.664,0.6641916,0.000325,7630.7692307692305,-0.0002163
4,GBP_EUR,1.1568,1.1566,1.1567323,0.0002,25500.0,-4.31e-05
