Currency,Column,33rd,66th
EURUSD,vol,0.0006899999999998,0.0009699999999996
EURUSD,fd,485483.8709676911,835714.2857141127
GBPUSD,vol,0.0009049999999999,0.0014499999999999
GBPUSD,fd,360800.0000000077,602739.726027482
USDCAD,vol,0.0007299999999998,0.0011000000000001
USDCAD,fd,378846.1538459368,656756.7567567896
USDCHF,vol,0.0006999999999999,0.000955
USDCHF,fd,499290.7801417968,878651.6853933113
USDHKD,vol,0.0009299999999994,0.0014850000000006
USDHKD,fd,462464.183381178,921991.7012443796
USDAUD,vol,0.0012959499999998,0.0017484
USDAUD,fd,331748.0570699544,556562.137049999
USDNZD,vol,0.0011000000000001,0.0019300000000002
USDNZD,fd,165600.00000003295,286363.6363636101
USDSGD,vol,0.0006599999999998,0.0009299999999998
USDSGD,fd,590000.000000065,1061068.7022899594
